;21;25;30;31;32;33;34;35;36;37;38;39;40;41;42;43
20;None;None;None;None;None;None;None;None;None;None;40;41;43;44;46;47
30;None;None;31;33;34;36;37;38;40;42;43;45;47;48;50;51
40;None;26;34;35;37;39;40;42;44;45;47;49;51;53;54;56
50;22;28;36;38;40;41;43;45;47;49;51;53;55;57;None;None
60;24;30;38;40;42;44;46;48;50;52;54;57;None;None;None;None
70;25;32;41;43;45;47;49;51;53;56;58;None;None;None;None;None
80;26;33;43;45;47;50;52;54;57;59;None;None;None;None;None;None
90;28;35;45;48;50;52;55;57;60;None;None;None;None;None;None;None
100;29;37;48;50;53;55;58;None;None;None;None;None;None;None;None;None
